city,country,avg_temp_local,avg_temp_global,5-year MA Peshawar,5-year MA Global,
Peshawar,Pakistan,17.88,8.01,,,1833
Peshawar,Pakistan,17.87,8.15,,,1834
Peshawar,Pakistan,17.03,7.39,,,1835
Peshawar,Pakistan,17.05,7.7,,,1836
Peshawar,Pakistan,19.34,7.38,17.834,7.726,1837
Peshawar,Pakistan,22.19,7.51,18.696,7.626,1838
Peshawar,Pakistan,,7.63,18.9025,7.522,1839
Peshawar,Pakistan,17.64,7.8,19.055,7.604,1840
Peshawar,Pakistan,18.06,7.69,19.3075,7.602,1841
Peshawar,Pakistan,19.23,8.02,19.28,7.73,1842
Peshawar,Pakistan,18.01,8.17,18.235,7.862,1843
Peshawar,Pakistan,17.36,7.65,18.06,7.866,1844
Peshawar,Pakistan,17.6,7.85,18.052,7.876,1845
Peshawar,Pakistan,18.31,8.55,18.102,8.048,1846
Peshawar,Pakistan,17.76,8.09,17.808,8.062,1847
Peshawar,Pakistan,17.33,7.98,17.672,8.024,1848
Peshawar,Pakistan,17.62,7.98,17.724,8.09,1849
Peshawar,Pakistan,17.67,7.9,17.738,8.1,1850
Peshawar,Pakistan,17.76,8.18,17.628,8.026,1851
Peshawar,Pakistan,17.72,8.1,17.62,8.028,1852
Peshawar,Pakistan,17.7,8.04,17.694,8.04,1853
Peshawar,Pakistan,17.99,8.21,17.768,8.086,1854
Peshawar,Pakistan,18.19,8.11,17.872,8.128,1855
Peshawar,Pakistan,17.75,8,17.87,8.092,1856
Peshawar,Pakistan,17.37,7.76,17.8,8.024,1857
Peshawar,Pakistan,18.01,8.1,17.862,8.036,1858
Peshawar,Pakistan,18.21,8.25,17.906,8.044,1859
Peshawar,Pakistan,17.54,7.96,17.776,8.014,1860
Peshawar,Pakistan,17.61,7.85,17.748,7.984,1861
Peshawar,Pakistan,,7.56,17.8425,7.944,1862
Peshawar,Pakistan,18.02,8.11,17.845,7.946,1863
Peshawar,Pakistan,17.46,7.98,17.6575,7.892,1864
Peshawar,Pakistan,17.75,8.18,17.71,7.936,1865
Peshawar,Pakistan,17.7,8.29,17.7325,8.024,1866
Peshawar,Pakistan,18.31,8.44,17.848,8.2,1867
Peshawar,Pakistan,17.89,8.25,17.822,8.228,1868
Peshawar,Pakistan,17.95,8.43,17.92,8.318,1869
Peshawar,Pakistan,18.09,8.2,17.988,8.322,1870
Peshawar,Pakistan,17.94,8.12,18.036,8.288,1871
Peshawar,Pakistan,18.12,8.19,17.998,8.238,1872
Peshawar,Pakistan,18.25,8.35,18.07,8.258,1873
Peshawar,Pakistan,18.18,8.43,18.116,8.258,1874
Peshawar,Pakistan,18.46,7.86,18.19,8.19,1875
Peshawar,Pakistan,17.73,8.08,18.148,8.182,1876
Peshawar,Pakistan,17.9,8.54,18.104,8.252,1877
Peshawar,Pakistan,17.72,8.83,17.998,8.348,1878
Peshawar,Pakistan,18.45,8.17,18.052,8.296,1879
Peshawar,Pakistan,18.78,8.12,18.116,8.348,1880
Peshawar,Pakistan,18.43,8.27,18.256,8.386,1881
Peshawar,Pakistan,17.83,8.13,18.242,8.304,1882
Peshawar,Pakistan,17.84,7.98,18.266,8.134,1883
Peshawar,Pakistan,17.52,7.77,18.08,8.054,1884
Peshawar,Pakistan,17.09,7.92,17.742,8.014,1885
Peshawar,Pakistan,17.48,7.95,17.552,7.95,1886
